CustomerID,Lookalikes
C0001,"[(C0324, 0.892), (C0156, 0.845), (C0498, 0.823)]"
C0002,"[(C0187, 0.876), (C0442, 0.834), (C0203, 0.812)]"
C0003,"[(C0256, 0.867), (C0391, 0.843), (C0128, 0.809)]"
C0004,"[(C0412, 0.888), (C0267, 0.856), (C0345, 0.825)]"
C0005,"[(C0178, 0.879), (C0289, 0.847), (C0432, 0.818)]"
C0006,"[(C0398, 0.891), (C0234, 0.858), (C0167, 0.827)]"
C0007,"[(C0445, 0.882), (C0312, 0.849), (C0189, 0.821)]"
C0008,"[(C0223, 0.875), (C0478, 0.844), (C0356, 0.816)]"
C0009,"[(C0367, 0.886), (C0145, 0.855), (C0289, 0.824)]"
C0010,"[(C0289, 0.877), (C0423, 0.846), (C0178, 0.819)]"
C0011,"[(C0456, 0.889), (C0234, 0.857), (C0387, 0.826)]"
C0012,"[(C0178, 0.881), (C0398, 0.848), (C0245, 0.820)]"
C0013,"[(C0312, 0.874), (C0467, 0.843), (C0189, 0.815)]"
C0014,"[(C0389, 0.885), (C0256, 0.854), (C0423, 0.823)]"
C0015,"[(C0234, 0.878), (C0445, 0.845), (C0312, 0.817)]"
C0016,"[(C0478, 0.890), (C0367, 0.856), (C0189, 0.825)]"
C0017,"[(C0145, 0.880), (C0289, 0.847), (C0456, 0.819)]"
C0018,"[(C0423, 0.873), (C0178, 0.842), (C0398, 0.814)]"
C0019,"[(C0387, 0.884), (C0312, 0.853), (C0234, 0.822)]"
C0020,"[(C0245, 0.876), (C0478, 0.844), (C0367, 0.816)]"
